0.1	0.1	33.424	0.13876	2.0159
0.15	0.1	21.335	0.15573	1.1648
0.2	0.1	15.184	0.17476	0.75008
0.25	0.1	11.693	0.18994	0.5242
0.3	0.1	9.2255	0.21029	0.37278
0.35	0.1	7.6151	0.22459	0.27922
0.4	0.1	6.2813	0.24746	0.20531
0.45	0.1	5.3304	0.26664	0.15545
0.5	0.1	4.5487	0.28815	0.11721
0.55	0.1	3.9182	0.31084	0.088285
0.6	0.1	3.4125	0.335	0.066151
0.65	0.1	2.9596	0.36428	0.048052
0.7	0.1	2.5955	0.39292	0.034839
0.75	0.1	2.2719	0.42669	0.024353
0.8	0.1	1.9917	0.46385	0.016713
0.85	0.1	1.7379	0.50745	0.01145
0.9	0.1	1.5064	0.56108	0.0085321
