0	NaN	NaN	NaN	NaN	NaN
0.01	NaN	NaN	NaN	NaN	NaN
0.02	NaN	NaN	NaN	0.068186	NaN
0.03	NaN	NaN	NaN	0.040513	NaN
0.04	NaN	NaN	NaN	0.03296	NaN
0.05	NaN	NaN	NaN	0.030008	NaN
0.06	NaN	NaN	NaN	0.029074	NaN
0.07	NaN	NaN	NaN	0.029303	NaN
0.08	NaN	NaN	NaN	0.030297	NaN
0.09	0.14706	0.10661	0.081247	0.031821	NaN
0.1	0.098824	0.078433	0.063019	0.03372	NaN
0.11	0.080475	0.065561	0.053664	NaN	NaN
0.12	0.070027	0.057858	0.047842	NaN	NaN
0.13	0.063086	0.052683	0.043947	NaN	NaN
0.14	0.058173	0.049001	0.041283	NaN	NaN
0.15	0.054515	0.046296	0.039466	NaN	0.15064
0.16	0.051694	0.044273	0.038272	NaN	0.10602
0.17	0.049468	0.042755	0.037554	NaN	0.087605
0.18	0.047691	0.04162	0.037209	NaN	0.076732
0.19	0.046257	0.040785	0.037163	NaN	0.069363
0.2	0.045092	0.040191	0.03736	NaN	0.063946
0.21	0.044145	0.039793	0.037754	NaN	0.0598
0.22	0.043375	0.039556	0.038309	NaN	0.056503
0.23	0.042752	0.039455	0.038994	NaN	0.053847
0.24	0.042251	0.039466	NaN	NaN	0.051662
0.25	0.041855	0.039574	NaN	NaN	0.049853
0.26	0.041548	0.039763	NaN	NaN	0.048337
0.27	0.041318	0.040021	NaN	NaN	0.047067
0.28	0.041154	0.040339	NaN	NaN	0.045998
0.29	0.041047	NaN	NaN	NaN	0.045099
0.3	0.040992	NaN	NaN	NaN	0.044345
0.31	0.04098	NaN	NaN	NaN	0.043714
0.32	0.041009	NaN	NaN	NaN	0.04319
0.33	0.041071	NaN	NaN	NaN	0.04276
0.34	0.041165	NaN	NaN	NaN	0.042412
0.35	0.041286	NaN	NaN	NaN	0.042137
0.36	0.041432	NaN	NaN	NaN	0.041925
0.37	NaN	NaN	NaN	NaN	0.04177
0.38	NaN	NaN	NaN	NaN	0.041665
0.39	NaN	NaN	NaN	NaN	0.041605
0.4	NaN	NaN	NaN	NaN	0.041586
0.41	NaN	NaN	NaN	NaN	0.041603
0.42	NaN	NaN	NaN	NaN	0.041651
0.43	NaN	NaN	NaN	NaN	0.041729
0.44	NaN	NaN	NaN	NaN	0.041833
0.45	NaN	NaN	NaN	NaN	NaN
